0.7471 	0.0460 	0.3103 	0.4943 	0.0000 	0.4713 	0.0000 
0.3085 	0.3298 	0.6170 	0.7234 	0.0000 	0.0319 	0.0532 
0.5676 	0.3629 	0.3861 	0.3436 	0.0000 	0.4865 	0.0734 
0.8552 	0.0138 	0.4621 	0.6207 	0.3586 	0.4345 	0.0000 
0.1935 	0.3226 	0.7097 	0.7204 	0.0000 	0.0323 	0.0430 
0.6118 	0.0235 	0.6941 	0.9176 	0.0000 	0.0235 	0.0000 
0.6571 	0.0000 	0.6762 	0.8762 	0.0000 	0.0571 	0.0000 
0.1529 	0.1882 	0.6235 	0.5882 	0.0000 	0.0235 	0.0941 
0.1975 	0.2222 	0.7284 	0.6296 	0.0000 	0.0000 	0.0741 
0.2410 	0.1325 	0.6867 	0.5904 	0.0000 	0.0120 	0.0964 
0.0500 	0.1625 	0.5750 	0.7375 	0.0000 	0.0250 	0.0000 
0.1923 	0.1923 	0.5897 	0.6923 	0.0000 	0.0897 	0.0000 
0.2779 	0.3772 	0.6328 	0.3325 	0.0000 	0.2432 	0.0471 
0.3603 	0.5030 	0.6614 	0.2576 	0.0000 	0.3253 	0.0653 
0.6950 	0.0386 	0.4054 	0.5058 	0.0000 	0.4633 	0.0000 
0.5459 	0.2780 	0.5721 	0.2213 	0.0000 	0.5124 	0.0262 
0.4160 	0.3564 	0.6025 	0.5732 	0.0000 	0.2412 	0.2402 
0.6910 	0.0858 	0.5279 	0.4249 	0.0000 	0.5086 	0.0966 
0.6829 	0.5371 	0.2839 	0.3478 	0.3376 	0.3529 	0.2506 
0.5178 	0.3819 	0.4725 	0.4045 	0.1942 	0.2427 	0.1036 
0.4045 	0.5146 	0.4984 	0.4854 	0.3236 	0.3139 	0.0647 
0.8105 	0.9016 	0.8357 	0.5507 	0.5315 	0.4130 	0.3050 
0.4834 	0.8796 	0.5725 	0.4353 	0.2818 	0.4389 	0.4148 
0.3227 	0.6472 	0.5853 	0.3462 	0.2642 	0.3478 	0.1722 
0.6513 	0.5690 	0.4165 	0.5496 	0.5254 	0.4165 	0.1477 
0.4583 	0.4931 	0.7014 	0.4861 	0.3333 	0.4271 	0.0972 
0.3302 	0.7434 	0.5774 	0.3585 	0.2075 	0.4377 	0.3377 
0.5346 	0.8864 	0.5768 	0.4232 	0.4242 	0.4524 	0.2998 
0.6360 	0.8126 	0.5374 	0.5493 	0.4290 	0.4648 	0.2026 
0.8790 	0.8646 	0.7685 	0.4304 	0.1442 	0.7442 	0.0569 
0.8931 	1.0000 	0.6111 	0.6671 	0.2159 	0.0269 	0.5655 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.7279 	0.6943 	0.5946 	0.4423 	0.3135 	0.3942 	0.2553 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.5755 	0.8271 	0.6355 	0.2797 	0.4576 	0.5512 	0.1273 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.6398 	0.3898 	0.5297 	0.4873 	0.2119 	0.3814 	0.0890 
0.3384 	0.5960 	0.4646 	0.5606 	0.1616 	0.3687 	0.0152 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.3864 	0.9339 	0.6715 	0.4050 	0.3058 	0.4463 	0.4174 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.3044 	0.7377 	0.6303 	0.1952 	0.0671 	0.6383 	0.4781 
0.4427 	0.6522 	0.4190 	0.5375 	0.2727 	0.3597 	0.1107 
0.5887 	0.5831 	0.5352 	0.4958 	0.2901 	0.3803 	0.1352 
0.4545 	0.6783 	0.4790 	0.4371 	0.2797 	0.4510 	0.1084 
0.4538 	0.7484 	0.6099 	0.5398 	0.3010 	0.5780 	0.2643 
0.3560 	0.8354 	0.6251 	0.5162 	0.3993 	0.6275 	0.2008 
0.5964 	0.1927 	0.4327 	0.5600 	0.2691 	0.3127 	0.2255 
0.4088 	0.8049 	0.6291 	0.5446 	0.4166 	0.5827 	0.1981 
0.4805 	0.5795 	0.4805 	0.5081 	0.6250 	0.3474 	0.1721 
0.4272 	0.9996 	0.4508 	0.4793 	0.7196 	0.6489 	0.3731 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
0.3971 	0.4963 	0.4706 	0.5699 	0.2279 	0.2353 	0.1801 
0.5329 	1.1497 	0.8443 	0.9521 	0.8443 	0.5749 	0.6647 
0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 	0.0000 
